**** wn_node
node_id,node_id_flag,alt_customer_points,alt_demand_by_category,alt_land_use,customer_points,demand_by_category,land_use,landuse_areas,notes,area,area_flag,isolation_area,isolation_area_flag,asset_id,asset_id_flag,x,x_flag,y,y_flag,z,z_flag,ground_level,ground_level_flag,highest_property,highest_property_flag,leakage_loss,leakage_loss_flag,nominal_average_pressure,nominal_average_pressure_flag,alt_total_connections,total_connections,total_connections_flag,system_type,system_type_flag,fire_zone,fire_zone_flag,asset_uid,asset_uid_flag,asset_network_uid,user_number_1,user_number_1_flag,user_number_2,user_number_2_flag,user_number_3,user_number_3_flag,user_number_4,user_number_4_flag,user_number_5,user_number_5_flag,user_number_6,user_number_6_flag,user_number_7,user_number_7_flag,user_number_8,user_number_8_flag,user_number_9,user_number_9_flag,user_number_10,user_number_10_flag,user_number_11,user_number_11_flag,user_number_12,user_number_12_flag,user_number_13,user_number_13_flag,user_number_14,user_number_14_flag,user_number_15,user_number_15_flag,hotlinks,user_text_1,user_text_1_flag,user_text_2,user_text_2_flag,user_text_3,user_text_3_flag,user_text_4,user_text_4_flag,user_text_5,user_text_5_flag,user_text_6,user_text_6_flag,user_text_7,user_text_7_flag,user_text_8,user_text_8_flag,user_text_9,user_text_9_flag,user_text_10,user_text_10_flag,user_text_11,user_text_11_flag,user_text_12,user_text_12_flag,user_text_13,user_text_13_flag,user_text_14,user_text_14_flag,user_text_15,user_text_15_flag
1032,#V,,,,,,,,,,,,,,,546810.9804088333621621,#V,4802620.0049966815859079,#V,0.,#V,0.,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032T,#V,,,,,,,,,,,,,,,546810.0599226821213961,#V,4802619.6142224175855517,#V,0.,#V,0.,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,#V,,,,,,,,,,,,,,,546817.7289343646261841,#V,4802634.9543513441458344,#V,0.,#V,0.,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033T,#V,,,,,,,,,,,,,,,546817.4905265318229795,#V,4802635.9255163138732314,#V,0.,#V,0.,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,#V,,,,,,,,,,,,,,,546820.6300000000046566,#V,4802623.3300000000745058,#V,0.,#V,0.,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,#V,,,,,,,,,,,,,,,546863.8000000000465661,#V,4802634.0099999997764826,#V,0.,#V,0.,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,#V,,,,,,,,,,,,,,,546799.7800000000279397,#V,4802443.6900000004097819,#V,0.,#V,0.,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,#V,,,,,,,,,,,,,,,545866.9799999999813735,#V,4802375.,#V,0.,#V,0.,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,#V,,,,,,,,,,,,,,,546800.9021991405170411,#V,4802444.1134713739156723,#V,0.,#V,0.,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040T,#V,,,,,,,,,,,,,,,546801.8362170208711177,#V,4802444.4706701124086976,#V,0.,#V,0.,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,#V,,,,,,,,,,,,,,,546806.6600000000325963,#V,4802446.3399999998509884,#V,0.,#V,0.,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,#V,,,,,,,,,,,,,,,546808.25,#V,4802447.,#V,0.,#V,0.,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,#V,,,,,,,,,,,,,,,546809.9699999999720603,#V,4802447.7300000004470348,#V,0.,#V,0.,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,#V,,,,,,,,,,,,,,,546794.1600000000325963,#V,4802442.349999999627471,#V,0.,#V,0.,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,#V,,,,,,,,,,,,,,,546805.4899999999906868,#V,4802457.5899999998509884,#V,0.,#V,0.,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,#V,,,,,,,,,,,,,,,546751.638873946852982,#V,4802576.3012526258826256,#V,0.,#V,0.,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048T,#V,,,,,,,,,,,,,,,546751.240102241630666,#V,4802577.2183021772652864,#V,0.,#V,0.,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,#V,,,,,,,,,,,,,,,546736.6485544473398477,#V,4802587.0534494342282414,#V,0.,#V,0.,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049T,#V,,,,,,,,,,,,,,,546737.5866728030377999,#V,4802587.3994895396754146,#V,0.,#V,0.,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,#V,,,,,,,,,,,,,,,545866.9899999999906868,#V,4802379.8600000003352761,#V,0.,#V,0.,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,#V,,,,,,,,,,,,,,,546738.4022242677165195,#V,4802587.7131631802767515,#V,0.,#V,0.,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050T,#V,,,,,,,,,,,,,,,546739.2752553260652348,#V,4802588.0531324157491326,#V,0.,#V,0.,#D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
